a,b,a+a,1/(a+1),1-a
11.52480632,10.46993595,31.14392119,3.420381771,9.589928503
2.361574348,8.79974574,16.9165937,3.400892868,3.82740977
0.95770105,9.27205415,0.973500502,0.058532303,0.394536946
0.254097546,8.717640207,0.860799928,0.026417545,0.277382512
0.124441173,8.983809746,0.418794765,0.073478405,0.127746291
0.046482238,9.380148593,0.189076647,0.022753511,0.033013182
0.025836681,8.75775946,0.105595649,0.003034945,0.024887961
0.01221911,8.916614534,0.050315168,0.003512007,0.031041267
0.008180996,8.670500849,0.035576407,0.011196056,0.028639533
0.01589597,8.57841091,0.069889968,0.008679348,0.035192544
0.01305691,8.830304444,0.0519981,0.01255619,0.041429262
0.036754654,8.606966684,0.22700085,0.025888604,0.056013463
0.042828242,9.197767192,0.115204407,0.015444906,0.046553891
0.032944434,9.490401587,0.158461107,0.02429384,0.050275822
0.016219421,8.547018842,0.080244426,0.019462245,0.033242767
0.031215494,8.838328795,0.147569841,0.019748366,0.030102206
0.021581719,9.004554789,0.08324852,0.012811931,0.035375887
0.022409215,8.821602128,0.096939628,0.016966692,0.044714555
0.028771416,8.61168074,0.129879457,0.026055204,0.040925952
0.033452636,8.754645996,0.121802607,0.01578991,0.051870365
,,,,
a,b,a+a,1/(a+1),1-a
0.09082326,7.041273367,0.126812714,0.936616388,0.205677758
1.058572711,1.159058523,1.349949532,0.239974574,0.472098483
0.138262847,0.271458749,0.278723094,0.03649656,0.157253921
0.077325896,0.156874244,0.189490031,0.029699906,0.065984598
0.031733106,0.077102051,0.135007952,0.020078638,0.050993626
0.029957784,0.035748852,0.103033196,0.017781616,0.05349609
0.041502356,0.015949854,0.14841955,0.020885265,0.056289969
0.03060315,0.032460878,0.105383704,0.018098299,0.056878879
0.030329419,0.01586354,0.10904102,0.016778231,0.050381862
0.041462301,0.009058924,0.144685009,0.020764058,0.05085977
0.030173656,0.007821852,0.102843112,0.017430688,0.051691973
0.032915182,0.009977029,0.125350709,0.01972277,0.05212784
0.031441737,0.007686652,0.107395844,0.018151665,0.050780892
0.029940623,0.007011805,0.103684339,0.016661681,0.050865202
0.030495936,0.009101735,0.106316589,0.017480857,0.056071274
0.032095454,0.004878606,0.11982093,0.017774742,0.054826884
0.030916825,0.004121396,0.123048841,0.017026261,0.050134379
0.032120952,0.009403093,0.106215466,0.017738282,0.065703786
0.037064592,0.003981173,0.116810533,0.018795213,0.051436618
0.031098528,0.00346035,0.116339805,0.017107267,0.049578414
